Date,Open,High,Low,Close,Volume,Adj Close
2014-10-17,2.17,2.23,2.17,2.20,000,2.20
2014-10-16,2.06,2.18,2.02,2.15,000,2.15
2014-10-15,2.16,2.17,1.87,2.09,000,2.09
2014-10-14,2.19,2.24,2.19,2.21,000,2.21
2014-10-13,2.29,2.29,2.29,2.29,000,2.29
2014-10-10,2.30,2.32,2.30,2.31,000,2.31
2014-10-09,2.29,2.34,2.29,2.33,000,2.33
2014-10-08,2.36,2.39,2.33,2.33,000,2.33
2014-10-07,2.42,2.42,2.34,2.35,000,2.35
2014-10-06,2.43,2.45,2.40,2.42,000,2.42
2014-10-03,2.44,2.48,2.44,2.45,000,2.45
2014-10-02,2.41,2.44,2.39,2.44,000,2.44
2014-10-01,2.47,2.47,2.40,2.40,000,2.40
2014-09-30,2.50,2.51,2.48,2.51,000,2.51
2014-09-29,2.50,2.50,2.48,2.49,000,2.49
2014-09-26,2.50,2.55,2.50,2.54,000,2.54
2014-09-25,2.54,2.55,2.50,2.51,000,2.51
2014-09-24,2.54,2.57,2.53,2.57,000,2.57
2014-09-23,2.55,2.56,2.53,2.54,000,2.54
2014-09-22,2.56,2.58,2.55,2.57,000,2.57
2014-09-19,2.61,2.63,2.58,2.59,000,2.59
2014-09-18,2.62,2.64,2.62,2.63,000,2.63
2014-09-17,2.58,2.62,2.55,2.60,000,2.60
2014-09-16,2.56,2.59,2.55,2.59,000,2.59
2014-09-15,2.61,2.61,2.58,2.59,000,2.59
2014-09-12,2.58,2.62,2.58,2.61,000,2.61
2014-09-11,2.52,2.54,2.51,2.53,000,2.53
2014-09-10,2.53,2.54,2.52,2.53,000,2.53
2014-09-09,2.50,2.51,2.48,2.50,000,2.50
2014-09-08,2.44,2.48,2.42,2.47,000,2.47
2014-09-05,2.47,2.49,2.39,2.46,000,2.46
2014-09-04,2.40,2.46,2.38,2.45,000,2.45
2014-09-03,2.45,2.46,2.41,2.41,000,2.41
2014-09-02,2.39,2.42,2.39,2.42,000,2.42
2014-08-29,2.35,2.35,2.33,2.34,000,2.34
2014-08-28,2.34,2.35,2.32,2.33,000,2.33
2014-08-27,2.37,2.39,2.36,2.36,000,2.36
2014-08-26,2.39,2.40,2.37,2.39,000,2.39
2014-08-25,2.39,2.41,2.39,2.39,000,2.39
2014-08-22,2.39,2.44,2.39,2.40,000,2.40
2014-08-21,2.44,2.44,2.40,2.41,000,2.41
2014-08-20,2.41,2.44,2.40,2.43,000,2.43
2014-08-19,2.36,2.41,2.36,2.40,000,2.40
2014-08-18,2.37,2.39,2.36,2.39,000,2.39
2014-08-15,2.39,2.40,2.31,2.35,000,2.35
2014-08-14,2.41,2.42,2.39,2.40,000,2.40
2014-08-13,2.46,2.46,2.41,2.41,000,2.41
2014-08-12,2.43,2.45,2.41,2.44,000,2.44
2014-08-11,2.44,2.44,2.41,2.42,000,2.42
2014-08-08,2.39,2.43,2.37,2.41,000,2.41
2014-08-07,2.46,2.48,2.42,2.42,000,2.42
2014-08-06,2.44,2.47,2.30,2.47,000,2.47
2014-08-05,2.49,2.53,2.47,2.48,000,2.48
2014-08-04,2.49,2.50,2.47,2.49,000,2.49
2014-08-01,2.58,2.59,2.48,2.51,000,2.51
2014-07-31,2.57,2.61,2.54,2.56,000,2.56
2014-07-30,2.47,2.57,2.47,2.55,000,2.55
2014-07-29,2.48,2.49,2.45,2.46,000,2.46
2014-07-28,2.48,2.50,2.47,2.49,000,2.49
2014-07-25,2.51,2.51,2.47,2.47,000,2.47
2014-07-24,2.49,2.52,2.49,2.51,000,2.51
2014-07-23,2.46,2.47,2.45,2.46,000,2.46
2014-07-22,2.50,2.50,2.46,2.47,000,2.47
2014-07-21,2.48,2.48,2.45,2.47,000,2.47
2014-07-18,2.46,2.50,2.46,2.48,000,2.48
2014-07-17,2.52,2.52,2.47,2.47,000,2.47
2014-07-16,2.55,2.57,2.53,2.54,000,2.54
2014-07-15,2.55,2.57,2.52,2.55,000,2.55
2014-07-14,2.53,2.55,2.53,2.55,000,2.55
2014-07-11,2.52,2.53,2.51,2.52,000,2.52
2014-07-10,2.50,2.54,2.49,2.53,000,2.53
2014-07-09,2.58,2.60,2.54,2.55,000,2.55
2014-07-08,2.60,2.60,2.56,2.57,000,2.57
2014-07-07,2.63,2.64,2.61,2.62,000,2.62
2014-07-03,2.63,2.69,2.62,2.65,000,2.65
2014-07-02,2.59,2.63,2.59,2.63,000,2.63
2014-07-01,2.55,2.57,2.55,2.56,000,2.56
2014-06-30,2.52,2.55,2.51,2.52,000,2.52
2014-06-27,2.52,2.54,2.51,2.53,000,2.53
2014-06-26,2.56,2.57,2.52,2.53,000,2.53
2014-06-25,2.57,2.57,2.53,2.56,000,2.56
2014-06-24,2.61,2.62,2.58,2.59,000,2.59
2014-06-23,2.60,2.62,2.59,2.62,000,2.62
2014-06-20,2.64,2.66,2.62,2.62,000,2.62
2014-06-19,2.59,2.65,2.56,2.62,000,2.62
2014-06-18,2.65,2.65,2.59,2.61,000,2.61
2014-06-17,2.60,2.65,2.59,2.65,000,2.65
2014-06-16,2.58,2.61,2.58,2.60,000,2.60
2014-06-13,2.61,2.64,2.59,2.60,000,2.60
2014-06-12,2.65,2.65,2.58,2.59,000,2.59
2014-06-11,2.63,2.65,2.61,2.64,000,2.64
2014-06-10,2.63,2.65,2.62,2.63,000,2.63
2014-06-09,2.62,2.63,2.60,2.61,000,2.61
2014-06-06,2.58,2.60,2.53,2.60,000,2.60
2014-06-05,2.60,2.65,2.57,2.58,000,2.58
2014-06-04,2.58,2.62,2.57,2.61,000,2.61
2014-06-03,2.55,2.60,2.55,2.59,000,2.59
2014-06-02,2.50,2.54,2.49,2.53,000,2.53
2014-05-30,2.47,2.49,2.45,2.46,000,2.46
2014-05-29,2.44,2.46,2.40,2.45,000,2.45
2014-05-28,2.50,2.50,2.43,2.44,000,2.44
2014-05-27,2.54,2.55,2.51,2.52,000,2.52
2014-05-23,2.54,2.55,2.52,2.54,000,2.54
2014-05-22,2.55,2.56,2.53,2.56,000,2.56
2014-05-21,2.53,2.56,2.53,2.54,000,2.54
2014-05-20,2.55,2.55,2.50,2.51,000,2.51
2014-05-19,2.52,2.54,2.49,2.54,000,2.54
2014-05-16,2.50,2.52,2.49,2.52,000,2.52
2014-05-15,2.54,2.56,2.47,2.50,000,2.50
2014-05-14,2.57,2.59,2.53,2.54,000,2.54
2014-05-13,2.66,2.66,2.61,2.62,000,2.62
2014-05-12,2.64,2.66,2.64,2.66,000,2.66
2014-05-09,2.60,2.64,2.60,2.62,000,2.62
2014-05-08,2.62,2.63,2.58,2.60,000,2.60
2014-05-07,2.61,2.62,2.58,2.59,000,2.59
2014-05-06,2.61,2.61,2.59,2.60,000,2.60
2014-05-05,2.58,2.61,2.57,2.61,000,2.61
