Date,Open,High,Low,Settle,Volume,Interest
2013-12-17,97.3,97.9,97,97.22,128151,71808
2013-12-16,96.55,97.69,96.21,97.48,202512,101077
2013-12-13,97.58,97.62,96.26,96.6,245917,128470
2013-12-12,97.55,98.18,97.31,97.5,219604,153787
2013-12-11,98.65,98.75,97.2,97.44,292813,189430
2013-12-10,97.25,98.74,97.24,98.51,282425,218380
2013-12-09,97.66,97.97,97.1,97.34,228086,249065
2013-12-06,97.38,98.07,97.08,97.65,245491,278487
2013-12-05,97.33,97.99,97.01,97.38,231303,295705
2013-12-04,96.9,97.58,96.3,97.2,339399,317617
2013-12-03,93.86,96.96,93.67,96.04,333173,326186
2013-12-02,92.71,94.08,92.56,93.82,252414,334786
2013-11-29,92.33,93.9,92.06,92.72,159719,341643
2013-11-27,93.5,93.6,91.77,92.3,244028,344857
2013-11-26,94.21,94.69,93.43,93.68,169978,348419
2013-11-25,94.15,94.5,93.08,94.09,281119,345927
2013-11-22,95.29,95.57,94.05,94.84,272212,353334
2013-11-21,93.73,95.63,93.47,95.44,230087,352364
2013-11-20,93.33,93.93,92.73,93.33,27443,18520
2013-11-19,93,93.46,92.43,93.34,174100,60227
2013-11-18,93.78,94.3,92.72,93.03,177449,86952
2013-11-15,93.89,94.55,93.58,93.84,221154,144944
2013-11-14,93.5,94.43,92.51,93.76,322227,162890
2013-11-13,93.07,94.54,92.93,93.88,322560,197365
2013-11-12,95,95.22,92.86,93.04,371401,225379
2013-11-11,94.45,95.38,94.11,95.14,228287,246767
2013-11-08,94.36,94.92,93.9,94.6,265620,270748
2013-11-07,94.91,95.31,93.8,94.2,282078,287959
2013-11-06,93.74,95.4,93.65,94.8,297349,315014
2013-11-05,94.47,94.9,93.07,93.37,235431,325052
2013-11-04,94.52,95.11,94.06,94.62,232172,332364
2013-11-01,96.32,96.65,94.36,94.61,299342,348486
2013-10-31,96.62,97.03,96.03,96.38,267311,354643
2013-10-30,97.77,97.82,96.55,96.77,279889,359829
2013-10-29,98.54,98.57,97.69,98.2,191544,357575
2013-10-28,97.88,98.82,97.37,98.68,240494,360037
2013-10-25,97.19,98.06,96.99,97.85,205087,365707
2013-10-24,97.1,97.69,95.95,97.11,258003,366540
2013-10-23,98.12,98.29,96.16,96.86,367172,365998
2013-10-22,99.06,99.77,97.5,97.8,30731,21255
2013-10-21,100.63,100.95,98.98,99.22,113020,61473
2013-10-18,100.72,101.71,100.51,100.81,126327,79194
2013-10-17,102.13,102.32,100.03,100.67,274286,108878
2013-10-16,100.88,102.97,100.75,102.29,242264,131644
2013-10-15,102.19,102.46,100.87,101.21,248443,157794
2013-10-14,101.37,102.62,101.06,102.41,179762,166947
2013-10-11,102.94,102.95,100.6,102.02,321664,195808
2013-10-10,101.46,103.57,101.16,103.01,311646,219628
2013-10-09,103.49,103.75,101.18,101.61,303437,245284
2013-10-08,103.16,104.08,102.85,103.49,213297,265745
2013-10-07,103.45,103.74,101.86,103.03,288052,284382
2013-10-04,102.92,104.19,102.9,103.84,178326,292028
2013-10-03,103.82,104.38,102.87,103.31,236644,298915
2013-10-02,101.62,104.23,101.43,104.1,311940,300070
2013-10-01,102.31,102.58,101.06,102.04,235330,307186
2013-09-30,102.46,102.76,101.05,102.33,242415,314427
2013-09-27,102.91,103.77,102.36,102.87,250001,326509
2013-09-26,102.3,103.29,102.2,103.03,192527,340830
2013-09-25,103.41,103.96,102.2,102.66,245157,341154
2013-09-24,103.44,103.64,102.3,103.13,270152,354296
2013-09-23,104.89,105.12,103.12,103.59,235977,364604
2013-09-20,106.37,106.46,104.32,104.67,39268,29351
2013-09-19,108.22,108.99,106.08,106.39,177742,76645
2013-09-18,105.53,108.49,105.32,108.07,208049,94447
2013-09-17,106.22,106.43,104.94,105.42,313239,140021
2013-09-16,107.5,108,106.06,106.59,293922,172960
2013-09-13,108.64,108.74,107.23,108.21,219768,194768
2013-09-12,107.77,109.16,107.3,108.6,264959,212812
2013-09-11,107.36,108.09,106.53,107.56,255285,227122
2013-09-10,108.92,108.95,106.39,107.39,342723,248572
2013-09-09,110.28,110.46,108.76,109.52,284449,273580
2013-09-06,108.52,110.7,108.12,110.53,285631,282374
2013-09-05,107.59,108.54,107.13,108.37,195797,287492
2013-09-04,108.44,108.61,106.77,107.23,235764,294736
2013-09-03,107.07,108.83,104.21,108.54,301538,299569
2013-08-30,108.17,108.75,106.75,107.65,273095,312225
2013-08-29,109.53,110.07,107.72,108.8,262330,319696
2013-08-28,109.22,112.24,109.11,110.1,345592,328900
