Date,Open,High,Low,Settle,Volume,Interest
2013-12-17,4.265,4.326,4.194,4.287,146146,108943
2013-12-16,4.275,4.318,4.203,4.279,169922,133895
2013-12-16,4.275,4.318,4.203,4.279,169922,133895
2013-12-13,4.389,4.443,4.341,4.351,165659,151208
2013-12-12,4.345,4.434,4.307,4.409,265564,176979
2013-12-11,4.251,4.348,4.172,4.337,264799,199428
2013-12-10,4.24,4.287,4.199,4.237,231224,236014
2013-12-09,4.148,4.248,4.139,4.232,196607,257309
2013-12-06,4.144,4.199,4.103,4.114,237841,289158
2013-12-05,3.965,4.152,3.951,4.132,253705,306004
2013-12-04,3.98,4.013,3.953,3.96,107814,310103
2013-12-03,3.975,4.017,3.945,3.976,134634,322670
2013-12-02,3.911,3.993,3.897,3.988,133786,327803
2013-11-29,3.895,3.962,3.873,3.954,99206,328740
2013-11-27,3.866,3.918,3.834,3.895,113552,333856
2013-11-26,3.795,3.837,3.741,3.818,15985,7867
2013-11-25,3.814,3.849,3.753,3.789,74694,18693
2013-11-22,3.703,3.787,3.682,3.768,65743,24103
2013-11-21,3.67,3.743,3.661,3.702,115407,44676
2013-11-20,3.558,3.681,3.549,3.674,126943,66149
2013-11-19,3.614,3.647,3.545,3.556,110337,84393
2013-11-18,3.681,3.705,3.611,3.617,120507,99003
2013-11-15,3.612,3.667,3.575,3.66,102895,109236
2013-11-14,3.556,3.624,3.491,3.605,146668,118283
2013-11-13,3.646,3.662,3.54,3.566,125745,129350
2013-11-12,3.581,3.656,3.561,3.617,119675,144884
2013-11-11,3.586,3.598,3.542,3.574,93318,149524
2013-11-08,3.52,3.589,3.51,3.559,84028,158217
2013-11-07,3.495,3.622,3.483,3.519,178916,169505
2013-11-06,3.482,3.547,3.453,3.498,128777,172791
2013-11-05,3.443,3.491,3.379,3.466,128530,174806
2013-11-04,3.475,3.475,3.406,3.445,108379,175440
2013-11-01,3.574,3.578,3.508,3.513,121208,178984
2013-10-31,3.638,3.659,3.56,3.581,124099,175813
2013-10-30,3.64,3.662,3.61,3.62,87643,171914
2013-10-29,3.567,3.589,3.48,3.496,15955,7121
2013-10-28,3.678,3.681,3.557,3.569,75166,19563
2013-10-25,3.63,3.731,3.593,3.707,60319,28372
2013-10-24,3.617,3.645,3.545,3.629,126662,45337
2013-10-23,3.593,3.639,3.577,3.619,94439,59221
2013-10-22,3.669,3.669,3.573,3.581,154599,82321
2013-10-21,3.795,3.838,3.654,3.668,110620,96740
2013-10-18,3.759,3.785,3.685,3.764,136289,104367
2013-10-17,3.775,3.801,3.727,3.757,118857,123392
2013-10-16,3.813,3.869,3.757,3.769,152933,138712
2013-10-15,3.821,3.855,3.773,3.79,135685,152807
2013-10-14,3.815,3.855,3.758,3.82,104936,153692
2013-10-11,3.728,3.792,3.726,3.776,156601,165074
2013-10-10,3.699,3.795,3.683,3.723,221858,190961
2013-10-09,3.724,3.734,3.673,3.679,154428,213135
2013-10-08,3.637,3.73,3.633,3.716,222556,241535
2013-10-07,3.53,3.661,3.519,3.629,210996,267681
2013-10-04,3.509,3.535,3.482,3.506,78626,274501
2013-10-03,3.542,3.57,3.49,3.499,137521,274382
2013-10-02,3.608,3.647,3.533,3.542,102156,275551
2013-10-01,3.557,3.653,3.536,3.609,154011,283245
2013-09-30,3.581,3.583,3.509,3.56,113966,285601
2013-09-27,3.581,3.608,3.521,3.589,97652,287333
2013-09-26,3.507,3.515,3.402,3.498,14104,6025
2013-09-25,3.509,3.546,3.49,3.493,74215,18088
2013-09-24,3.593,3.617,3.488,3.492,67338,28068
2013-09-23,3.681,3.681,3.592,3.602,74716,44775
2013-09-20,3.712,3.715,3.656,3.687,76093,59794
2013-09-19,3.729,3.82,3.68,3.72,179057,79300
2013-09-18,3.738,3.754,3.671,3.713,98926,92476
2013-09-17,3.741,3.776,3.72,3.745,123119,118239
2013-09-16,3.687,3.749,3.625,3.738,126208,130253
2013-09-13,3.628,3.689,3.603,3.677,111244,140707
2013-09-12,3.558,3.665,3.537,3.638,178779,151876
2013-09-11,3.583,3.618,3.525,3.567,126510,161253
2013-09-10,3.609,3.629,3.54,3.584,107259,169201
2013-09-09,3.534,3.621,3.531,3.605,93254,180340
2013-09-06,3.575,3.595,3.517,3.53,88013,191041
2013-09-05,3.672,3.719,3.562,3.575,153670,193668
2013-09-04,3.674,3.699,3.64,3.683,113636,206721
2013-09-03,3.601,3.689,3.601,3.666,128866,217112
2013-08-30,3.624,3.653,3.566,3.581,104325,217806
2013-08-29,3.58,3.655,3.51,3.618,169793,221991
2013-08-28,3.542,3.589,3.479,3.567,14648,6850
2013-08-27,3.505,3.547,3.451,3.534,64111,18486
2013-08-26,3.511,3.545,3.476,3.513,43457,23992
2013-08-23,3.545,3.562,3.473,3.485,88001,40223
2013-08-22,3.47,3.559,3.451,3.545,138028,61747
2013-08-21,3.437,3.495,3.388,3.46,84819,77773
2013-08-20,3.465,3.5,3.431,3.444,108816,97316
2013-08-19,3.392,3.501,3.385,3.463,128072,115118
2013-08-16,3.425,3.434,3.36,3.368,84295,129468
2013-08-15,3.341,3.433,3.303,3.419,158436,144698
2013-08-14,3.298,3.376,3.285,3.342,162066,161418
2013-08-13,3.304,3.334,3.262,3.285,217231,190014
2013-08-12,3.26,3.361,3.244,3.31,206652,220153
2013-08-09,3.32,3.326,3.215,3.23,179452,246529
2013-08-08,3.237,3.326,3.129,3.297,258871,264956
2013-08-07,3.305,3.318,3.23,3.247,193625,290227
2013-08-06,3.325,3.357,3.301,3.318,77363,290884
2013-08-05,3.326,3.361,3.308,3.319,80927,287725
